===================
	  Java项目分析报告
===================

1. 类 / 接口汇总
------------------
类 org.apache.commons.math4.core.jdkmath.AccurateMath   [50字段, 87方法, 注释率31%]
    代码行数: 37
    圈复杂度: 2

  方法: copySubMatrix
    参数个数: 3
    代码行数: 19
    圈复杂度: 4

  方法: setSubMatrix
    参数个数: 3
    代码行数: 31
    圈复杂度: 8

  方法: getRowMatrix
    参数个数: 1
    代码行数: 10
    圈复杂度: 2

  方法: setRowMatrix
    参数个数: 2
    代码行数: 13
    圈复杂度: 3

  方法: getColumnMatrix
    参数个数: 1
    代码行数: 11
    圈复杂度: 2

  方法: setColumnMatrix
    参数个数: 2
    代码行数: 13
    圈复杂度: 3

  方法: getRowVector
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: setRowVector
    参数个数: 2
    代码行数: 11
    圈复杂度: 3

  方法: getColumnVector
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: setColumnVector
    参数个数: 2
    代码行数: 12
    圈复杂度: 3

  方法: getRow
    参数个数: 1
    代码行数: 10
    圈复杂度: 2

  方法: setRow
    参数个数: 2
    代码行数: 10
    圈复杂度: 3

  方法: getColumn
    参数个数: 1
    代码行数: 10
    圈复杂度: 2

  方法: setColumn
    参数个数: 2
    代码行数: 10
    圈复杂度: 3

  方法: getEntry
    参数个数: 2
    代码行数: 0
    圈复杂度: 1

  方法: setEntry
    参数个数: 3
    代码行数: 0
    圈复杂度: 1

  方法: addToEntry
    参数个数: 3
    代码行数: 0
    圈复杂度: 1

  方法: multiplyEntry
    参数个数: 3
    代码行数: 0
    圈复杂度: 1

  方法: transpose
    参数个数: 0
    代码行数: 14
    圈复杂度: 1

  方法: getTrace
    参数个数: 0
    代码行数: 12
    圈复杂度: 3

  方法: operate
    参数个数: 1
    代码行数: 19
    圈复杂度: 4

  方法: operate
    参数个数: 1
    代码行数: 22
    圈复杂度: 5

  方法: preMultiply
    参数个数: 1
    代码行数: 19
    圈复杂度: 4

  方法: preMultiply
    参数个数: 1
    代码行数: 22
    圈复杂度: 5

  方法: walkInRowOrder
    参数个数: 1
    代码行数: 13
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 1
    代码行数: 11
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 5
    代码行数: 13
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 5
    代码行数: 11
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 1
    代码行数: 13
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 1
    代码行数: 11
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 5
    代码行数: 13
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 5
    代码行数: 11
    圈复杂度: 3

  方法: walkInOptimizedOrder
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: walkInOptimizedOrder
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: walkInOptimizedOrder
    参数个数: 5
    代码行数: 3
    圈复杂度: 1

  方法: walkInOptimizedOrder
    参数个数: 5
    代码行数: 3
    圈复杂度: 1

  方法: toString
    参数个数: 0
    代码行数: 25
    圈复杂度: 5

  方法: equals
    参数个数: 1
    代码行数: 22
    圈复杂度: 7

  方法: hashCode
    参数个数: 0
    代码行数: 13
    圈复杂度: 3

  方法: checkRowIndex
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: checkColumnIndex
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: checkSubMatrixIndex
    参数个数: 4
    代码行数: 15
    圈复杂度: 3

  方法: checkSubMatrixIndex
    参数个数: 2
    代码行数: 17
    圈复杂度: 3

org.apache.commons.math4.legacy.linear.AbstractRealMatrix (共54个方法):
该类的圈复杂度: 147       注释率: 11%
  方法: add
    参数个数: 1
    代码行数: 14
    圈复杂度: 3

  方法: subtract
    参数个数: 1
    代码行数: 14
    圈复杂度: 3

  方法: scalarAdd
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: scalarMultiply
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: multiply
    参数个数: 1
    代码行数: 19
    圈复杂度: 4

  方法: preMultiply
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: power
    参数个数: 1
    代码行数: 57
    圈复杂度: 9

  方法: getData
    参数个数: 0
    代码行数: 12
    圈复杂度: 3

  方法: getNorm
    参数个数: 0
    代码行数: 39
    圈复杂度: 2

  方法: getFrobeniusNorm
    参数个数: 0
    代码行数: 27
    圈复杂度: 1

  方法: getSubMatrix
    参数个数: 4
    代码行数: 13
    圈复杂度: 3

  方法: getSubMatrix
    参数个数: 2
    代码行数: 16
    圈复杂度: 1

  方法: copySubMatrix
    参数个数: 5
    代码行数: 40
    圈复杂度: 4

  方法: copySubMatrix
    参数个数: 3
    代码行数: 20
    圈复杂度: 5

  方法: setSubMatrix
    参数个数: 3
    代码行数: 29
    圈复杂度: 7

  方法: getRowMatrix
    参数个数: 1
    代码行数: 10
    圈复杂度: 2

  方法: setRowMatrix
    参数个数: 2
    代码行数: 13
    圈复杂度: 3

  方法: getColumnMatrix
    参数个数: 1
    代码行数: 10
    圈复杂度: 2

  方法: setColumnMatrix
    参数个数: 2
    代码行数: 13
    圈复杂度: 3

  方法: getRowVector
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: setRowVector
    参数个数: 2
    代码行数: 11
    圈复杂度: 3

  方法: getColumnVector
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: setColumnVector
    参数个数: 2
    代码行数: 11
    圈复杂度: 3

  方法: getRow
    参数个数: 1
    代码行数: 10
    圈复杂度: 2

  方法: setRow
    参数个数: 2
    代码行数: 10
    圈复杂度: 3

  方法: getColumn
    参数个数: 1
    代码行数: 10
    圈复杂度: 2

  方法: setColumn
    参数个数: 2
    代码行数: 10
    圈复杂度: 3

  方法: addToEntry
    参数个数: 3
    代码行数: 4
    圈复杂度: 1

  方法: multiplyEntry
    参数个数: 3
    代码行数: 4
    圈复杂度: 1

  方法: transpose
    参数个数: 0
    代码行数: 15
    圈复杂度: 1

  方法: getTrace
    参数个数: 0
    代码行数: 12
    圈复杂度: 3

  方法: operate
    参数个数: 1
    代码行数: 18
    圈复杂度: 4

  方法: operate
    参数个数: 1
    代码行数: 22
    圈复杂度: 5

  方法: preMultiply
    参数个数: 1
    代码行数: 19
    圈复杂度: 4

  方法: preMultiply
    参数个数: 1
    代码行数: 22
    圈复杂度: 5

  方法: walkInRowOrder
    参数个数: 1
    代码行数: 13
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 1
    代码行数: 11
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 5
    代码行数: 13
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 5
    代码行数: 11
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 1
    代码行数: 13
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 1
    代码行数: 11
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 5
    代码行数: 13
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 5
    代码行数: 11
    圈复杂度: 3

  方法: walkInOptimizedOrder
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: walkInOptimizedOrder
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: walkInOptimizedOrder
    参数个数: 5
    代码行数: 3
    圈复杂度: 1

  方法: walkInOptimizedOrder
    参数个数: 5
    代码行数: 3
    圈复杂度: 1

  方法: toString
    参数个数: 0
    代码行数: 8
    圈复杂度: 1

  方法: equals
    参数个数: 1
    代码行数: 22
    圈复杂度: 7

  方法: hashCode
    参数个数: 0
    代码行数: 14
    圈复杂度: 3

  方法: createMatrix
    参数个数: 2
    代码行数: 0
    圈复杂度: 1

  方法: copy
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: getEntry
    参数个数: 2
    代码行数: 0
    圈复杂度: 1

  方法: setEntry
    参数个数: 3
    代码行数: 0
    圈复杂度: 1

org.apache.commons.math4.legacy.linear.AnyMatrix (共7个方法):
该类的圈复杂度: 9       注释率: 55%
  方法: isSquare
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getRowDimension
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: getColumnDimension
    参数个数: 0
    代码行数: 0
    圈复杂度: 1

  方法: canAdd
    参数个数: 1
    代码行数: 4
    圈复杂度: 1

  方法: checkAdd
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: canMultiply
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: checkMultiply
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

org.apache.commons.math4.legacy.linear.Array2DRowFieldMatrix (共26个方法):
该类的圈复杂度: 65       注释率: 27%
  方法: createMatrix
    参数个数: 2
    代码行数: 3
    圈复杂度: 1

  方法: copy
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: add
    参数个数: 1
    代码行数: 18
    圈复杂度: 3

  方法: subtract
    参数个数: 1
    代码行数: 18
    圈复杂度: 3

  方法: multiply
    参数个数: 1
    代码行数: 22
    圈复杂度: 4

  方法: getData
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getDataRef
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: setSubMatrix
    参数个数: 3
    代码行数: 28
    圈复杂度: 8

  方法: getEntry
    参数个数: 2
    代码行数: 6
    圈复杂度: 1

  方法: setEntry
    参数个数: 3
    代码行数: 6
    圈复杂度: 1

  方法: addToEntry
    参数个数: 3
    代码行数: 6
    圈复杂度: 1

  方法: multiplyEntry
    参数个数: 3
    代码行数: 6
    圈复杂度: 1

  方法: getRowDimension
    参数个数: 0
    代码行数: 3
    圈复杂度: 2

  方法: getColumnDimension
    参数个数: 0
    代码行数: 3
    圈复杂度: 2

  方法: operate
    参数个数: 1
    代码行数: 17
    圈复杂度: 4

  方法: preMultiply
    参数个数: 1
    代码行数: 18
    圈复杂度: 4

  方法: walkInRowOrder
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 5
    代码行数: 12
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 5
    代码行数: 12
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 1
    代码行数: 11
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 5
    代码行数: 12
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 5
    代码行数: 11
    圈复杂度: 3

  方法: copyOut
    参数个数: 0
    代码行数: 9
    圈复杂度: 2

  方法: copyIn
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.linear.Array2DRowRealMatrix (共29个方法):
该类的圈复杂度: 72       注释率: 23%
  方法: createMatrix
    参数个数: 2
    代码行数: 3
    圈复杂度: 1

  方法: copy
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: add
    参数个数: 1
    代码行数: 18
    圈复杂度: 3

  方法: subtract
    参数个数: 1
    代码行数: 17
    圈复杂度: 3

  方法: multiply
    参数个数: 1
    代码行数: 32
    圈复杂度: 5

  方法: getData
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getDataRef
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: setSubMatrix
    参数个数: 3
    代码行数: 29
    圈复杂度: 8

  方法: getEntry
    参数个数: 2
    代码行数: 10
    圈复杂度: 2

  方法: setEntry
    参数个数: 3
    代码行数: 4
    圈复杂度: 1

  方法: addToEntry
    参数个数: 3
    代码行数: 4
    圈复杂度: 1

  方法: multiplyEntry
    参数个数: 3
    代码行数: 4
    圈复杂度: 1

  方法: getRowDimension
    参数个数: 0
    代码行数: 3
    圈复杂度: 2

  方法: getColumnDimension
    参数个数: 0
    代码行数: 3
    圈复杂度: 2

  方法: operate
    参数个数: 1
    代码行数: 17
    圈复杂度: 4

  方法: preMultiply
    参数个数: 1
    代码行数: 18
    圈复杂度: 4

  方法: getSubMatrix
    参数个数: 4
    代码行数: 13
    圈复杂度: 2

  方法: walkInRowOrder
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 5
    代码行数: 12
    圈复杂度: 3

  方法: walkInRowOrder
    参数个数: 5
    代码行数: 12
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 1
    代码行数: 11
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 5
    代码行数: 12
    圈复杂度: 3

  方法: walkInColumnOrder
    参数个数: 5
    代码行数: 11
    圈复杂度: 3

  方法: copyOut
    参数个数: 0
    代码行数: 9
    圈复杂度: 2

  方法: copyIn
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: getRow
    参数个数: 1
    代码行数: 7
    圈复杂度: 1

  方法: setRow
    参数个数: 2
    代码行数: 8
    圈复杂度: 2

org.apache.commons.math4.legacy.linear.ArrayFieldVector (共52个方法):
该类的圈复杂度: 109       注释率: 38%
  方法: getField
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: copy
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: add
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: add
    参数个数: 1
    代码行数: 8
    圈复杂度: 2

  方法: subtract
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: subtract
    参数个数: 1
    代码行数: 8
    圈复杂度: 2

  方法: mapAdd
    参数个数: 1
    代码行数: 7
    圈复杂度: 2

  方法: mapAddToSelf
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: mapSubtract
    参数个数: 1
    代码行数: 7
    圈复杂度: 2

  方法: mapSubtractToSelf
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: mapMultiply
    参数个数: 1
    代码行数: 7
    圈复杂度: 2

  方法: mapMultiplyToSelf
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: mapDivide
    参数个数: 1
    代码行数: 8
    圈复杂度: 2

  方法: mapDivideToSelf
    参数个数: 1
    代码行数: 7
    圈复杂度: 2

  方法: mapInv
    参数个数: 0
    代码行数: 12
    圈复杂度: 3

  方法: mapInvToSelf
    参数个数: 0
    代码行数: 11
    圈复杂度: 3

  方法: ebeMultiply
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: ebeMultiply
    参数个数: 1
    代码行数: 8
    圈复杂度: 2

  方法: ebeDivide
    参数个数: 1
    代码行数: 16
    圈复杂度: 4

  方法: ebeDivide
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: getDataRef
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: dotProduct
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: dotProduct
    参数个数: 1
    代码行数: 8
    圈复杂度: 2

  方法: projection
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: projection
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: outerProduct
    参数个数: 1
    代码行数: 15
    圈复杂度: 4

  方法: outerProduct
    参数个数: 1
    代码行数: 11
    圈复杂度: 3

  方法: getEntry
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: getDimension
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: append
    参数个数: 1
    代码行数: 7
    圈复杂度: 2

  方法: append
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: append
    参数个数: 1
    代码行数: 6
    圈复杂度: 1

  方法: getSubVector
    参数个数: 2
    代码行数: 13
    圈复杂度: 3

  方法: setEntry
    参数个数: 2
    代码行数: 7
    圈复杂度: 2

  方法: setSubVector
    参数个数: 2
    代码行数: 14
    圈复杂度: 4

  方法: set
    参数个数: 2
    代码行数: 8
    圈复杂度: 2

  方法: set
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: toArray
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: checkVectorDimensions
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: checkVectorDimensions
    参数个数: 1
    代码行数: 5
    圈复杂度: 2

  方法: walkInDefaultOrder
    参数个数: 1
    代码行数: 8
    圈复杂度: 2

  方法: walkInDefaultOrder
    参数个数: 3
    代码行数: 8
    圈复杂度: 2

  方法: walkInOptimizedOrder
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: walkInOptimizedOrder
    参数个数: 3
    代码行数: 3
    圈复杂度: 1

  方法: walkInDefaultOrder
    参数个数: 1
    代码行数: 8
    圈复杂度: 2

  方法: walkInDefaultOrder
    参数个数: 3
    代码行数: 8
    圈复杂度: 2

  方法: walkInOptimizedOrder
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: walkInOptimizedOrder
    参数个数: 3
    代码行数: 3
    圈复杂度: 1

  方法: equals
    参数个数: 1
    代码行数: 24
    圈复杂度: 7

  方法: hashCode
    参数个数: 0
    代码行数: 7
    圈复杂度: 1

  方法: checkIndex
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: checkIndices
    参数个数: 2
    代码行数: 15
    圈复杂度: 4

org.apache.commons.math4.legacy.linear.ArrayRealVector (共49个方法):
该类的圈复杂度: 110       注释率: 24%
  方法: copy
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: add
    参数个数: 1
    代码行数: 22
    圈复杂度: 4

  方法: subtract
    参数个数: 1
    代码行数: 22
    圈复杂度: 4

  方法: map
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: mapToSelf
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: mapAddToSelf
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: mapSubtractToSelf
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: mapMultiplyToSelf
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: mapDivideToSelf
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: ebeMultiply
    参数个数: 1
    代码行数: 20
    圈复杂度: 4

  方法: ebeDivide
    参数个数: 1
    代码行数: 20
    圈复杂度: 4

  方法: getDataRef
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: dotProduct
    参数个数: 1
    代码行数: 12
    圈复杂度: 3

  方法: getNorm
    参数个数: 0
    代码行数: 7
    圈复杂度: 1

  方法: getL1Norm
    参数个数: 0
    代码行数: 7
    圈复杂度: 1

  方法: getLInfNorm
    参数个数: 0
    代码行数: 7
    圈复杂度: 1

  方法: getDistance
    参数个数: 1
    代码行数: 20
    圈复杂度: 4

  方法: getL1Distance
    参数个数: 1
    代码行数: 20
    圈复杂度: 4

  方法: getLInfDistance
    参数个数: 1
    代码行数: 20
    圈复杂度: 4

  方法: outerProduct
    参数个数: 1
    代码行数: 24
    圈复杂度: 6

  方法: getEntry
    参数个数: 1
    代码行数: 8
    圈复杂度: 2

  方法: getDimension
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: append
    参数个数: 1
    代码行数: 6
    圈复杂度: 2

  方法: append
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: append
    参数个数: 1
    代码行数: 6
    圈复杂度: 1

  方法: getSubVector
    参数个数: 2
    代码行数: 13
    圈复杂度: 3

  方法: setEntry
    参数个数: 2
    代码行数: 7
    圈复杂度: 2

  方法: addToEntry
    参数个数: 2
    代码行数: 8
    圈复杂度: 2

  方法: setSubVector
    参数个数: 2
    代码行数: 14
    圈复杂度: 4

  方法: setSubVector
    参数个数: 2
    代码行数: 8
    圈复杂度: 2

  方法: set
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: toArray
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: toString
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: checkVectorDimensions
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: checkVectorDimensions
    参数个数: 1
    代码行数: 5
    圈复杂度: 2

  方法: isNaN
    参数个数: 0
    代码行数: 8
    圈复杂度: 2

  方法: isInfinite
    参数个数: 0
    代码行数: 13
    圈复杂度: 3

  方法: equals
    参数个数: 1
    代码行数: 25
    圈复杂度: 7

  方法: hashCode
    参数个数: 0
    代码行数: 6
    圈复杂度: 2

  方法: combine
    参数个数: 3
    代码行数: 3
    圈复杂度: 1

  方法: combineToSelf
    参数个数: 3
    代码行数: 15
    圈复杂度: 4

  方法: walkInDefaultOrder
    参数个数: 1
    代码行数: 7
    圈复杂度: 2

  方法: walkInDefaultOrder
    参数个数: 3
    代码行数: 8
    圈复杂度: 2

  方法: walkInOptimizedOrder
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: walkInOptimizedOrder
    参数个数: 3
    代码行数: 3
    圈复杂度: 1

  方法: walkInDefaultOrder
    参数个数: 1
    代码行数: 7
    圈复杂度: 2

  方法: walkInDefaultOrder
    参数个数: 3
    代码行数: 8
    圈复杂度: 2

  方法: walkInOptimizedOrder
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: walkInOptimizedOrder
    参数个数: 3
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.linear.BiDiagonalTransformer (共9个方法):
该类的圈复杂度: 62       注释率: 20%
  方法: getU
    参数个数: 0
    代码行数: 43
    圈复杂度: 11

  方法: getB
    参数个数: 0
    代码行数: 25
    圈复杂度: 6

  方法: getV
    参数个数: 0
    代码行数: 43
    圈复杂度: 11

  方法: getHouseholderVectorsRef
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getMainDiagonalRef
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getSecondaryDiagonalRef
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: isUpperBiDiagonal
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: transformToUpperBiDiagonal
    参数个数: 0
    代码行数: 57
    圈复杂度: 15

  方法: transformToLowerBiDiagonal
    参数个数: 0
    代码行数: 58
    圈复杂度: 15

org.apache.commons.math4.legacy.linear.BigReal (共17个方法):
该类的圈复杂度: 21       注释率: 41%
  方法: getRoundingMode
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: setRoundingMode
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: getScale
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: setScale
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: add
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: subtract
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: negate
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: divide
    参数个数: 1
    代码行数: 8
    圈复杂度: 2

  方法: reciprocal
    参数个数: 0
    代码行数: 8
    圈复杂度: 2

  方法: multiply
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: multiply
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: compareTo
    参数个数: 1
    代码行数: 3
    圈复杂度: 1

  方法: doubleValue
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: bigDecimalValue
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: equals
    参数个数: 1
    代码行数: 10
    圈复杂度: 3

  方法: hashCode
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getField
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

org.apache.commons.math4.legacy.linear.BigRealField (共5个方法):
该类的圈复杂度: 5       注释率: 36%
  方法: getInstance
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getOne
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getZero
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getRuntimeClass
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: readResolve
    参数个数: 0
    代码行数: 4
    圈复杂度: 1

org.apache.commons.math4.legacy.linear.BlockFieldMatrix (共49个方法):
该类的圈复杂度: 180       注释率: 17%
  方法: toBlocksLayout
    参数个数: 1
    代码行数: 45
    圈复杂度: 6

  方法: createBlocksLayout
    参数个数: 3
    代码行数: 21
    圈复杂度: 3

  方法: createMatrix
    参数个数: 2
    代码行数: 4
    圈复杂度: 1

  方法: copy
    参数个数: 0
    代码行数: 12
    圈复杂度: 2

  方法: add
    参数个数: 1
    代码行数: 37
    圈复杂度: 6

  方法: add
    参数个数: 1
    代码行数: 19
    圈复杂度: 3

  方法: subtract
    参数个数: 1
    代码行数: 37
    圈复杂度: 6

  方法: subtract
    参数个数: 1
    代码行数: 18
    圈复杂度: 3

  方法: scalarAdd
    参数个数: 1
    代码行数: 14
    圈复杂度: 3

  方法: scalarMultiply
    参数个数: 1
    代码行数: 15
    圈复杂度: 3

  方法: multiply
    参数个数: 1
    代码行数: 55
    圈复杂度: 8

  方法: multiply
    参数个数: 1
    代码行数: 63
    圈复杂度: 8

  方法: getData
    参数个数: 0
    代码行数: 26
    圈复杂度: 4

  方法: getSubMatrix
    参数个数: 4
    代码行数: 90
    圈复杂度: 6

  方法: copyBlockPart
    参数个数: 10
    代码行数: 10
    圈复杂度: 2

  方法: setSubMatrix
    参数个数: 3
    代码行数: 46
    圈复杂度: 6

  方法: getRowMatrix
    参数个数: 1
    代码行数: 27
    圈复杂度: 3

  方法: setRowMatrix
    参数个数: 2
    代码行数: 7
    圈复杂度: 2

  方法: setRowMatrix
    参数个数: 2
    代码行数: 31
    圈复杂度: 4

  方法: getColumnMatrix
    参数个数: 1
    代码行数: 25
    圈复杂度: 4

  方法: setColumnMatrix
    参数个数: 2
    代码行数: 7
    圈复杂度: 2

  方法: setColumnMatrix
    参数个数: 2
    代码行数: 29
    圈复杂度: 5

  方法: getRowVector
    参数个数: 1
    代码行数: 17
    圈复杂度: 2

  方法: setRowVector
    参数个数: 2
    代码行数: 7
    圈复杂度: 2

  方法: getColumnVector
    参数个数: 1
    代码行数: 19
    圈复杂度: 3

  方法: setColumnVector
    参数个数: 2
    代码行数: 7
    圈复杂度: 2

  方法: getRow
    参数个数: 1
    代码行数: 17
    圈复杂度: 2

  方法: setRow
    参数个数: 2
    代码行数: 18
    圈复杂度: 3

  方法: getColumn
    参数个数: 1
    代码行数: 19
    圈复杂度: 3

  方法: setColumn
    参数个数: 2
    代码行数: 20
    圈复杂度: 4

  方法: getEntry
    参数个数: 2
    代码行数: 11
    圈复杂度: 1

  方法: setEntry
    参数个数: 3
    代码行数: 11
    圈复杂度: 1

  方法: addToEntry
    参数个数: 3
    代码行数: 12
    圈复杂度: 1

  方法: multiplyEntry
    参数个数: 3
    代码行数: 12
    圈复杂度: 1

  方法: transpose
    参数个数: 0
    代码行数: 35
    圈复杂度: 5

  方法: getRowDimension
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: getColumnDimension
    参数个数: 0
    代码行数: 3
    圈复杂度: 1

  方法: operate
